File Name,Extracted Name,Effective Year,Effective Month
BLACKROCK_2015_APRIL_US.pdf,BLACKROCK,2015,APRIL
"BLACKROCK ADVISORS, LLC_2012_JUNE_US.pdf","BLACKROCK ADVISORS, LLC",2012,JUNE
BLACKROCK FUNDS_2012_APRIL_US_1.pdf,BLACKROCK FUNDS,2012,APRIL
BLACKROCK FUNDS_2012_APRIL_US.pdf,BLACKROCK FUNDS,2012,APRIL
BLACKROCK FUNDS_2015_MAY_US_1.pdf,BLACKROCK FUNDS,2015,MAY
BLACKROCK FUNDS_2015_MAY_US_2.pdf,BLACKROCK FUNDS,2015,MAY
BLACKROCK FUNDS_2015_MAY_US.pdf,BLACKROCK FUNDS,2015,MAY
"BLACKROCK, INC._2000_DECEMBER_US_1.pdf","BLACKROCK, INC.",2000,DECEMBER
"BLACKROCK, INC._2000_DECEMBER_US_2.pdf","BLACKROCK, INC.",2000,DECEMBER
"BLACKROCK, INC._2000_DECEMBER_US.pdf","BLACKROCK, INC.",2000,DECEMBER
"BLACKROCK, INC._2013_MAY_US_1.pdf","BLACKROCK, INC.",2013,MAY
"BLACKROCK, INC._2013_MAY_US_2.pdf","BLACKROCK, INC.",2013,MAY
"BLACKROCK, INC._2013_MAY_US_3.pdf","BLACKROCK, INC.",2013,MAY
"BLACKROCK, INC._2013_MAY_US.pdf","BLACKROCK, INC.",2013,MAY
"BLACKROCK, INC._2014_JUNE_US.pdf","BLACKROCK, INC.",2014,JUNE
"BLACKROCK, INC._2014_OCTOBER_US_1.pdf","BLACKROCK, INC.",2014,OCTOBER
"BLACKROCK, INC._2014_OCTOBER_US.pdf","BLACKROCK, INC.",2014,OCTOBER
"BLACKROCK, INC._2015_DECEMBER_US.pdf","BLACKROCK, INC.",2015,DECEMBER
"BLACKROCK, INC._NILL_MAY_US_1.pdf","BLACKROCK, INC.",NILL,MAY
"BLACKROCK, INC._NILL_MAY_US.pdf","BLACKROCK, INC.",NILL,MAY
SSGA FUNDS_2013_APRIL_US.pdf,SSGA FUNDS,2013,APRIL
"BLACKROCK, INC._NILL_NILL_US_1.pdf","BLACKROCK, INC.",NILL,NILL
"BLACKROCK, INC._NILL_NILL_US_2.pdf","BLACKROCK, INC.",NILL,NILL
"BLACKROCK, INC._NILL_NILL_US_3.pdf","BLACKROCK, INC.",NILL,NILL
"BLACKROCK, INC._NILL_NILL_US_4.pdf","BLACKROCK, INC.",NILL,NILL
"BLACKROCK, INC._NILL_NILL_US.pdf","BLACKROCK, INC.",NILL,NILL
"BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A._2012_SEPTEMBER_US.pdf","BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A.",2012,SEPTEMBER
